name,ticker,market,sector
Shahjalal Islami Bank PLC,SHAHJABANK,DSEBD,Finance
Sharp Industries PLC,SHARPIND,DSEBD,Process industries
Shasha Denims PLC,SHASHADNIM,DSEBD,Process industries
Shepherd Industries PLC,SHEPHERD,DSEBD,Process industries
Shurwid Industries Ltd,SHURWID,DSEBD,Process industries
Shyampur Sugar Mills Ltd.,SHYAMPSUG,DSEBD,Process industries
Social Islami Bank PLC,SIBL,DSEBD,Finance
"Sikder Insurance Co., Ltd.",SICL,DSEBD,Finance
Silco Pharmaceuticals Ltd.,SILCOPHL,DSEBD,Health technology
Silva Pharmaceuticals Ltd.,SILVAPHL,DSEBD,Health technology
Simtex Industries PLC,SIMTEX,DSEBD,Process industries
Singer Bangladesh Limited,SINGERBD,DSEBD,Consumer durables
Sinobangla Industries Ltd.,SINOBANGLA,DSEBD,Process industries
Sena Insurance PLC,SIPLC,DSEBD,Finance
SK Trims & Industries Ltd.,SKTRIMS,DSEBD,Process industries
Sonali Aansh Industries Limited.,SONALIANSH,DSEBD,Process industries
Sonali Life Insurance Company Ltd,SONALILIFE,DSEBD,Finance
Sonali Paper & Board Mills Ltd.,SONALIPAPR,DSEBD,Process industries
Sonar Bangla Insurance Ltd.,SONARBAINS,DSEBD,Finance
Sonargaon Textiles Limited.,SONARGAON,DSEBD,Process industries
Southeast Bank PLC,SOUTHEASTB,DSEBD,Finance
Shinepukur Ceramics Limited.,SPCERAMICS,DSEBD,Consumer durables
Shahjibazar Power Co Ltd,SPCL,DSEBD,Utilities
Square Textiles PLC,SQUARETEXT,DSEBD,Process industries
Square Pharmaceuticals PLC,SQURPHARMA,DSEBD,Health technology
S.S. Steel Ltd,SSSTEEL,DSEBD,Non-energy minerals
Standard Ceramic Industries Ltd.,STANCERAM,DSEBD,Consumer durables
Standard Insurance Ltd.,STANDARINS,DSEBD,Finance
Standard Bank PLC,STANDBANKL,DSEBD,Finance
Stylecraft Limited,STYLECRAFT,DSEBD,Consumer non-durables
Summit Power Ltd.,SUMITPOWER,DSEBD,Utilities
Sunlife Insurance Co. Ltd.,SUNLIFEINS,DSEBD,Finance
Takaful Islami Insurance PLC,TAKAFULINS,DSEBD,Finance
Tallu Spinning Mills Limited,TALLUSPIN,DSEBD,Process industries
Tamijuddin Textile Mills PLC,TAMIJTEX,DSEBD,Consumer non-durables
Techno Drugs Ltd.,TECHNODRUG,DSEBD,Health technology
Trust Islami Life Insurance Ltd.,TILIL,DSEBD,Finance
Titas Gas Transmission and Distribution PLC,TITASGAS,DSEBD,Utilities
Tosrifa Industries Ltd,TOSRIFA,DSEBD,Consumer non-durables
Trust Bank PLC,TRUSTBANK,DSEBD,Finance
Tung Hai Knitting & Dyeing Ltd,TUNGHAI,DSEBD,Consumer non-durables
United Commercial Bank PLC,UCB,DSEBD,Finance
Unilever Consumer Care Limited,UNILEVERCL,DSEBD,Health technology
Union Bank PLC,UNIONBANK,DSEBD,Finance
Union Capital Limited,UNIONCAP,DSEBD,Finance
Union Insurance Co. Ltd,UNIONINS,DSEBD,Finance
Unique Hotel & Resorts PLC,UNIQUEHRL,DSEBD,Consumer services
United Finance PLC,UNITEDFIN,DSEBD,Finance
United Insurance Company Limited,UNITEDINS,DSEBD,Finance
United Power Generation & Distribution Co. Ltd.,UPGDCL,DSEBD,Utilities
Usmania Glass Sheet Factory Limited,USMANIAGL,DSEBD,Process industries
Uttara Bank PLC,UTTARABANK,DSEBD,Finance
Uttara Finance and Investments Limited,UTTARAFIN,DSEBD,Finance
VFS Thread Dyeing Ltd.,VFSTDL,DSEBD,Process industries
Walton Hi-Tech Industries PLC,WALTONHIL,DSEBD,Consumer durables
Wata Chemicals Ltd.,WATACHEM,DSEBD,Process industries
Western Marine Shipyard Limited,WMSHIPYARD,DSEBD,Producer manufacturing
Yeakin Polymer Ltd.,YPL,DSEBD,Consumer durables
Zaheen Spinning PLC,ZAHEENSPIN,DSEBD,Process industries
Zahintex Industries Ltd.,ZAHINTEX,DSEBD,Consumer non-durables
Zeal Bangla Sugar Milla Limited,ZEALBANGLA,DSEBD,Process industries
